vocab,meaning,example,group
ideal (adj.),ซึ่งอยู่ในอุดมคติ,She’s the ideal candidate for the job.,Business
identification (n.),"การแสดงตัว, การระบุ",Biometric identification methods include fingerprints and facial recognition scanners.,Business
identify (v.),"ระบุชื่อ, ระบุตัว",She was able to identify her attacker.,Business
indicate (v.),"บ่องบอก, แสดง",A yellowing of the skin indicates jaundice.,Business
ignore (v.),"ละเลย, ไม่ใส่ใจ, เพิกเฉย",I made a suggestion but they chose to ignore it.,Business
illogical (adj.),"ซึ่งไม่มีเหตุผล, ซึ่งไร้เหตุผล",She has an illogical fear of insects.,Business
illustrious (adj.),"โดดเด่น, มีชื่อเสียง",The composer was one of many illustrious visitors to the town.,Business
individual (adj.),"รายบุคคล, แต่ละบุคคล",We interviewed each individual member of the community.,Business
individually (adv.),เป็นรายบุคคล,The hotel has 100 individually designed bedrooms.,Business
incentive (n.),แรงจูงใจ,There is little incentive for firms to increase the skills of their workers.,Business
inconvenience (n.),ความไม่สะดวก,We apologize for the delay and regret any inconvenience it may have caused.,Business
intend (v.),ตั้งใจ,We intend that production will start next month.,Business
imitate (v.),"เลียนแบบ, ทำตามอย่าง",No computer can imitate the complex functions of the human brain.,Business
impression (n.),ความประทับใจ,My first impression of him was favourable.,Business
immediate (adj.),ทันทีทันใด,The company announced the immediate availabilty of an updated version of the software.,Business
impel (v.),"ผลักดัน, บังคับ",There are various reasons that impel me to that conclusion.,Business
imply (v.),"บ่งบอกถึง, บอกเป็นนัย",I never meant to imply any criticism.,Business
impact (n.),ผลกระทบ,The project’s impact on the environment should be minimal.,Business
impediment (n.),"การขัดขวาง, สิ่งกีดขวาง, อุปสรรค",The level of inflation is a serious impediment to economic recovery.,Business
improve (v.),"ปรับปรุง, พัฒนา, ดีขึ้น",Engineers are working to improve this technology.,Business
improvement (n.),การปรับปรุง,The economy has shown significant improvement over the past 6 months.,Business
invite (v.),เชิญ,Let’s invite them all for dinner.,Business
inexperienced (adj.),ซึ่งไร้ประสบการณ์,She was inexperienced in teaching art.,Business
information (n.),ข้อมูล,More detailed information is not yet available.,Business
install (v.),ติดตั้ง,They’re planning to install a new drainage system.,Business
installation (n.),การติดตั้ง,Installation of the new system will take several days.,Business
inventory (n.),สินค้าคงคลัง,The inventory lists many rare items.,Business
invoice (n.),ใบแจ้งหนี้,Please pay the final invoice within two weeks.,Business
issue (n.),ปัญหา,This is a big issue; we need more time to think about it.,Business
journal (n.),วารสาร,The journal comes out five times a year.,Business
joint (adj.),ร่วมกัน,The two sides agreed to establish a joint working group.,Business
jobless (adj.),ไม่มีงานทำ,The company has plans to make more people jobless.,Business
judgment (n.),"การพิจารณา, การตัดสิน,","I don’t think he’s dishonest, but I question his judgement.",Business
justification (n.),การให้เหตุผล,I can see some justification for her remarks.,Business
knowledge (n.),ความรู้,He has a wide knowledge of painting and music.,Business
knowledgeable (adj.),มีความรู้,She is very knowledgeable about plants.,Business
lease (n.),สัญญาเช่า,The company holds the building on a long lease.,Business
labor (n.),แรงงาน,The workers voted to withdraw their labor.,Business
landlord / landlady (n.),"เจ้าของที่ดิน, เจ้าของบ้านเช่า, เจ้าของอพาร์ตเมนต์",The newspaper is negotiating with its landlord to reduce its rent.,Business
license (n.),ใบอนุญาต,The vaccine has been licensed by the US Food and Drug Administration.,Business
label (n.),ฉลาก,The washing instructions are on the label.,Business
lay off (phrv.),ปลด,Lay off bullying Jack.,Business
liability (n.),ความรับผิดชอบ,The company cannot accept liability for any damage caused by natural disasters.,Business
local (adj.),ในประเทศ,It was difficult to understand the local dialect.,Business
manufacture (n.),การผลิตด้วยเครื่องจักร,The date of manufacture of the jewellery has not been authenticated.,Business
manufacture (v.),ผลิต,This company manufactures the equipment used to make contact lenses.,Business
maintain (v.),รักษาไว้,He emphasized the need to maintain the status quo.,Business
maintenance (n.),"การซ่อมบำรุง, การรักษาสภาพ",The building has received no regular maintenance since it was vacated in 1998.,Business
marketing (n.),การตลาด,She works in sales and marketing.,Business
mention (v.),กล่าวถึง,She didn’t mention the economy in her speech.,Business
meeting (n.),การประชุม,A public meeting about the proposal takes place on Monday.,Business
memorandum (n.),บันทึกข้อความ,"The memorandum was dated 23 August, 2001.",Business
merge (v.),ผสาน,The company announced plans to merge with its biggest rival.,Business
merger (n.),การควบรวมกิจการ,There are local companies ripe for merger or acquisition.,Business
merchandise (n.),สินค้า,These tokens can be exchanged for merchandise in any of our stores.,Business
motivation (n.),แรงจูงใจ,Most people said that pay was their main motivation for working.,Business
nominate (v.),เสนอชื่อ,She has been nominated for the presidency.,Business
numeral (n.),ตัวเลข,You could present inputs of numeral images with the expected outputs.,Business
numerical (adj.),"เป็นตัวเลข, เกี่ยวกับตัวเลข",The drive towards numerical and managerial performance indicators has already been mentioned.,Business
objective (n.),วัตถุประสงค์,We succeeded in our prime objective of cutting costs.,Business
objection (n.),การคัดค้าน,My one objection is that I don’t think such an amendment is necessary.,Business
occupant (n.),"ผู้เช่าอาศัย, ผู้ครอบครอง, ผู้อยู่อาศัย",There are many empty offices seeking new occupants.,Business
official (adj.),อย่างเป็นทางการ,You have to get official permission to build a new office.,Business
offer (n.),ข้อเสนอ,I refer to your recent application and interview and am pleased to offer you the post of editor.,Business
officer (n.),เจ้าหน้าที่,He’s a retired army intelligence officer.,Business
operate (v.),ปฏิบัติ,Solar panels can only operate in sunlight.,Business
opinion (n.),ความคิดเห็น,"In my personal opinion, it’s a very sound investment.",Business
opportunity (n.),โอกาส,There’ll be plenty of opportunity for relaxing once the work is done.,Business
opponent (n.),"คู่แข่ง, ฝ่ายตรงข้าม, คู่ต่อสู้",She proved a formidable opponent in the debating chamber.,Business
occur (v.),"เกิดขึ้น, มีอยู่",These symptoms occur in some patients but not in others.,Business
overview (n.),ภาพรวม,The second chapter will provide an overview of the issues involved.,Business
overdue (adj.),เกินกำหนด,The rent is now overdue.,Business
outline (n.),เค้าโครง,You should draw up a plan or outline for the essay.,Business
oversee (v.),"ควบคุม, ตรวจสอบ",He personally oversaw the design of all the rooms.,Business
overtime (n.),เวลาพิเศษที่นอกเหนือจากเวลาทำงานปกติ,The overtime costs alone have used up the public safety budget.,Business
own (v.),"เป็นเจ้าของ, ครอบครอง",He owns and operates an eco-tourism company.,Business
oblige (v.),บังคับ,Circumstances had obliged him to sell the business.,Business
package (n.),บรรจุภัณฑ์,I sent the books in one big package.,Business
pact (n.),"สัญญา, ข้อตกลง",They have made a pact with each other not to speak about their differences in public.,Business
parcel (n.),พัสดุ,She went to collect her parcel from the depot.,Business
participant (n.),ผู้เข้าร่วม,Participants were asked to choose one of four topics for the lunch sessions.,Business
partner (n.),"หุ้นส่วน, ผู้ร่วมมือ",He has recently been made a junior partner in the family business.,Business
parking lot (n.),ที่จอดรถ,Found him in a parking lot in Brentwood.,Business
personnel (n.),"พนักงาน, บุคลากร",There is a severe shortage of skilled personnel.,Business
personal (adj.),ส่วนบุคคล,I need my own personal space.,Business
permanent (adj.),ถาวร,We decided to make the arrangement permanent.,Business
proposal (n.),ข้อเสนอ,The proposal for a new high-speed railway met with strong opposition.,Business
productive (adj.),"มีประสิทธิภาพ, ที่เกิดผล",The aim was to maximize the machine’s productive capacity.,Business
prohibit (v.),ห้าม,Smoking is strictly prohibited inside the factory.,Business
prohibition (n.),"ข้อห้าม, การห้าม","Prohibition of drugs, they say, works no better than prohibition of alcohol did in the United States.",Business
priority (n.),การจัดลำดับความสำคัญ,The department must start setting priorities.,Business
price (n.),ราคา,The price of crude oil has risen over the last few months.,Business
principle (n.),"ทฤษฎี, กฎ",There are three fundamental principles of teamwork.,Business
private (adj.),ที่เป็นส่วนตัว,"The hotel has 110 bedrooms, all with private bathrooms.",Business
predict (v.),ทำนาย,We can predict with absolute confidence how the newspapers will react.,Business
permit (v.),อนุญาต,The owners have been unwilling to permit the use of their land.,Business
permit (n.),ใบอนุญาต,My parking permit was due to be renewed.,Business
permission (n.),"การอนุญาต, ความยินยอม",They applied for permission to put up a temporary structure.,Business
purchase (v.),ซื้อ,We recently purchased a home just outside Las Vegas.,Business
policy (n.),นโยบาย,He implemented an aggressive monetary policy to stimulate the economy.,Business
premises (n.),ที่ดินและสิ่งปลูกสร้าง,The company is looking for larger premises.,Business
press (v.),กด,Only press the buzzer if you have the right answer.,Business
process (n.),กระบวนการ,The company has introduced a new process for handling complaints.,Business
profile (n.),ข้อมูลส่วนตัว,We first build up a detailed profile of our customers and their requirements.,Business
profession (n.),อาชีพ,She was at the very top of her profession.,Business
progress (v.),ความคืบหน้า,We will continue to monitor progress over the next few months.,Business
progressive (adj.),ซึ่งก้าวหน้า,Supporters of a progressive income tax argue that it is fairer.,Business
promote (v.),เลื่อนตำแหน่ง,Dad said he’d be promoted to section manager next year.,Business
promotion (n.),การเลื่อนตำแหน่ง,The new job is a promotion for him.,Business
publicize (v.),"ประชาสัมพันธ์, เผยแพร่",They will publicize the publishing house and the cafe as well.,Business
probability (adv.),ความน่าจะเป็นไปได้,The probability is that prices will rise rapidly.,Business
polite (adj.),สุภาพ,Our waiter was very polite and helpful.,Business
postponement (n.),การเลื่อนเวลาออกไป,Riots led to the postponement of local elections.,Business
plumber (n.),ช่างประปา,I think we’ll have to call the plumber to fix that tap.,Business
quote (v.),อ้างอิง,She quotes extensively from the author’s diaries.,Business
qualification (n.),คุณสมบัติ,"In this job, experience counts for more than paper qualifications.",Business
qualified (adj.),ที่มีคุณสมบัติ,She is now qualified as a teacher.,Business
question (n.),คำถาม,That’s a very interesting question.,Business
rate (n.),อัตรา,The costs of the project are rising at an alarming rate.,Business
rate (v.),ประเมินค่า,The show was rated (as) a success by critics and audiences.,Business
realize (v.),ตระหนักถึง,I hope you realize the seriousness of this crime.,Business
recruit (v.),รับสมัคร,They recruited more staff to deal with the complaints.,Business
recruit (n.),การรับสมัคร,They are stepping up attempts to attract new recruits to the nursing profession.,Business
register (v.),ลงทะเบียน,She is officially registered disabled.,Business
reimburse (v.),คืนเงิน,We will reimburse any expenses incurred.,Business
renovate (v.),"การปรับปรุงใหม่,การทำขึ้นใหม่",There will be extensive renovations to the hospital.,Business
result (n.),ผลลัพธ์,"We have worked very hard, and the result is amazing.",Business
refund (v.),คืนเงิน,We will refund you your money in full.,Business
refund (n.),การคืนเงินให้,She received a refund on the unused tickets.,Business
relevant (adj.),ที่เกี่ยวข้อง,These comments are not directly relevant to this inquiry.,Business
regular (adj.),ประจำ,We also hold a regular monthly meeting.,Business
recommendation (n.),ข้อเสนอแนะ,The major recommendation is for a change in the law.,Business
reception (n.),แผนกต้อนรับ,"For more information, please contact the reception desk.",Business
reduce (v.),ลด,Costs have been reduced by 20% over the past year.,Business
reminder (n.),การแจ้งเตือน,We were sent a reminder about the next meeting.,Business
rival (n.),คู่แข่ง,She has no rivals for the job.,Business
salary (n.),เงินเดือน,The CEO received a salary of $1 million.,Business
sanction (n.),"การอนุมัติ, การอนุญาตอย่างเป็นทางการ",Their ideas received official sanction at the meeting.,Business
satisfaction (n.),ความพึงพอใจ,The company is trying to improve customer satisfaction.,Business
schedule (n.),"กำหนดการ, ตารางรายการ",I have no time available in my regular schedule.,Business
session (n.),การประชุม,We still have a number of weeks before the current legislative session ends.,Business
secretary (n.),เลขานุการ,Please contact my secretary to make an appointment.,Business
specialist (n.),ผู้เชี่ยวชาญ,She is a specialist in children’s literature.,Business
specialize (v.),"เชี่ยวชาญ, ชำนาญ",He specialized in criminal law.,Business
scheme (n.),"แบบแผน, แผนผัง",The scheme allows customers to trade in their own computer against the cost of a new one.,Business
specify (v.),"ระบุ, บ่งชี้",She did not specify precisely how many people were involved in the incident.,Business
stationery (n.),เครื่องเขียน,Let’s go to the stationery store first.,Business
strategy (n.),กลยุทธ์,The company will now focus its strategy on its core business areas.,Business
strike (n.),การนัดหยุดงาน,The strike paralysed the port.,Business
submit (n.),"ส่ง, เสนอ, ยื่น
(เอกสาร, งาน)",Six groups were invited to submit proposals for the research.,Business
subsidiary (n.),บริษัทสาขา,It’s a subsidiary of bixton ganic food.,Business
systematic (adj.),เป็นระบบ,She was thorough and systematic in her acquisition of the collection.,Business
target (n.),เป้าหมาย,The firm is on track to achieve its growth target for the year.,Business
tackle (v.),จัดการแก้ปัญหา,I think I’ll tackle the repairs next weekend.,Business
take over as (phrv.),"เข้าทำงานต่อ, รับตำแหน่งต่อ",Mitch is angling to oust you and take over as ceo.,Business
task (n.),ภารกิจ,The first task for the new leader is to focus on the economy.,Business
tardily (adv.),ช้ากว่ากำหนด,I am responding tardily to your letter of last month.,Business
technical (adj.),"ที่เชี่ยวชาญเฉพาะทาง, ในเชิงเทคนิค",The organization provides technical assistance to farmers.,Business
technician (n.),"เจ้าหน้าที่เทคนิค, ช่างเทคนิค",I’m a technician and a doctor.,Business
transfer (v.),"โอน, ย้าย",His superiors transferred him to easier assignments.,Business
tenant (n.),ผู้เช่า,They had evicted their tenants for non-payment of rent.,Business
temporary (adj.),ชั่วคราว,I’m looking for some temporary work.,Business
transmit (v.),"ส่งผ่าน, ถ่ายทอด",The data will be automatically transmitted from one part of the system to another.,Business
transportation (n.),การขนส่ง,The strike brought the transportation system to a halt.,Business
TURNOVER (n.),อัตราการลาออก,The new offices have reduced the very high rates of staff turnover.,Business
unconditional (adj.),"โดยไม่มีเงื่อนไข, โดยไม่มีข้อจำกัด",They demanded the unconditional withdrawal of military forces.,Business
unify (v.),ทำให้เป็นหน่วยเดียวกัน,The new leader hopes to unify the country.,Business
understand (v.),เข้าใจ,She didn’t understand the form she was signing.,Business
unfavorable (adj.),เสียเปรียบ,The country’s geographical position is highly unfavourable.,Business
vacancy (n.),ตำแหน่งว่าง,There’s a vacancy in the accounts department.,Business
vacation (n.),วันหยุดพักร้อน,We’re planning a summer vacation to Europe next year.,Business
valid (adj.),สมบูรณ์,Vouchers are only valid for races taking place before 31 December.,Business
vendor (n.),ผู้ขาย,Get a list of vendors who deliver frozen food.,Business
wage (n.),ค่าจ้าง,He made a good wage as a trader.,Business
warn (v.),เตือน,I did try to warn you.,Business
share (n.),หุ้น,The company purchased 5.5m shares of the stock this week.,Business
dividend (n.),เงินปันผล,Shareholders will receive an interim dividend payment of 50 cents a share.,Business
Shareholder (n.),ผู้ถือหุ้น,Company shareholders approved the merger.,Business
wealth (n.),ความมั่งคั่ง,She is a woman of untold wealth.,Business
workforce (n.),"แรงงาน, คนทำงาน",Companies are under pressure to hire a more diverse workforce.,Business
wholesale (adv.),โดยขายส่ง,We buy the building materials wholesale.,Business
worth (adj.),"ซึ่งมีค่า, ซึ่งมีมูลค่า",This order is potentially worth millions of pounds to the company.,Business
xerox (v.),ถ่ายเอกสาร,"Could you xerox this letter, please?",Business
yield (n.),"ผลผลิต, ผลตอบแทน",This will give a yield of 10% on your investment.,Business
apologize (v.),ขอโทษ,"I’m so sorry, I do apologize.",Travel
arrival (n.),การมาถึง,A deposit is payable on arrival.,Travel
arrive (v.),มาถึง,Give me a call to let me know you’ve arrived safely.,Travel
aircraft (n.),"เครื่องบิน, อากาศยาน","Eventually a man from the tower arrived, and a little bus came to take us to the aircraft.",Travel
aisle (n.),ทางเดินระหว่างที่นั่ง,Would you like a window seat or an aisle seat,Travel
appetizer (n.),อาหารเรียกน้ำย่อย,"In general, the appetizers are better than the entrees.",Travel
baggage (n.),กระเป๋าเดินทาง,Check your baggage in at the desk.,Travel
belongings (n.),"สมบัติส่วนตัว, ข้าวของ",They packed all their belongings into the car and left the city that night.,Travel
beverage (n.),เครื่องดื่ม,Non-alcoholic beverages will be on sale in the foyer.,Travel
cabin crew (n.),ลูกเรือ,"The airline will run 13 former Dan Air short-haul routes from Gatwick, using 412 of its existing flight and cabin crew.",Travel
capital (n.),เมืองหลวง,"Washington D.C., the capital of the United States",Travel
cashier (n.),พนักงานรับจ่ายเงิน,"Go to the cashier to settle the account, and go to the pharmacy to pick up the prescription.",Travel
celebration (n.),การเฉลิมฉลอง,The show is a celebration of new young talent.,Travel
celebrate (v.),ฉลอง,It’s Dad’s birthday and we’re going out for a meal to celebrate.,Travel
climate (n.),ภูมิอากาศ,Los Angeles’ warm dry climate,Travel
cruise (n.),การล่องเรือ,"Last year cruise sales rose by 20 percent in Britain to 100,000 passengers.",Travel
danger (n.),"ภัย, อันตราย",Danger! No boats beyond this point.,Travel
dangerous (adj.),ซึ่งอันตราย,It was a highly dangerous situation.,Travel
destination (n.),จุดหมายปลายทาง,The Greek islands are a favourite destination for people who enjoy the sun and the sea.,Travel
departure (n.),"การออกเดินทาง, ขาออก",There was a delay in the departure of our plane.,Travel
itinerary (n.),กำหนดการเดินทาง,Again she went over the first few days of their itinerary in her mind.,Travel
facility (n.),สิ่งอำนวยคามสะดวก,She has an amazing facility for languages.,Travel
fare (n.),ค่าเดินทาง/อาหาร,I had to walk home because I didn’t have enough money for the fare.,Travel
harbor (n.),ท่าเรือ,"About 1,000 yachts had been in the harbour for days to get the best view.",Travel
passenger seat (n.),ที่นั่งผู้โดยสาร,"A couch behind the passenger seat easily folds out to a bed, albeit a short one.",Travel
reservation (n.),การจอง,Customers are advised to make seat reservations well in advance.,Travel
timetable (n.),ตารางเวลา,The timetable said there was another train at 6.15.,Travel
excursion (n.),การเที่ยว,The resort also offers daily excursions to nearby towns.,Travel
exhibit (v.),จัดแสดง,The gallery will exhibit some of Monet’s paintings.,Travel
field (n.),"ทุ่งนา, สนาม",We passed cows grazing in the fields.,Travel
luxury (n.),หรูหรา,He was leading a life of luxury in France.,Travel
monument (n.),อนุสาวรีย์,"At daybreak or dusk, the pyramids most resemble the limestone monuments seen by the old explorers.",Travel
napkin (n.),ผ้าเช็ดปาก,Her napkin was of pure silk with a neatly monogrammed corner.,Travel
neighborhood (n.),"บริเวณใกล้เคียง, ย่าน",The hotel is situated in a peaceful residential neighbourhood.,Travel
passenger (n.),ผู้โดยสาร,The airport was jammed with thousands of passengers from delayed or cancelled flights.,Travel
popularity (n.),ความนิยม,Country music is growing in popularity.,Travel
popular (adj),เป็นที่นิยม,Coffee is probably the most popular drink in the world.,Travel
scenery (n.),ทัศนียภาพ,The best part of the trip was the fantastic scenery.,Travel
elderly (adj.),สูงอายุ,A group of elderly ladies sat drinking coffee in the cafeteria.,Health 
emergency (n.),กรณีฉุกเฉิน,"In an emergency, dial 119 for police, the fire department or an ambulance.",Health 
intern (n.),แพทย์ฝึกหัด,She refused to be treated by an intern and demanded to see a qualified doctor.,Health 
internal (adj.),ภายใน,The doctor said they found some signs of internal bleeding.,Health 
medical certificate (n.),ใบรับรองแพทย์,If you’re sick you have to get a medical certificate.,Health 
medical (adj.),ทางการแพทย์,"The partnership plans to invest mainly in West Coast media, medical products, biotechnology and information-technology companies.",Health 
medicine (n.),ยา,Have you been taking your medicine?,Health 
prevention (n.),การป้องกัน,Educating new drivers is important for the prevention of accidents.,Health 
youth (n.),วัยหนุ่มสาว,Many of these people had used drugs in their youth.,Health 
appeal (v.),"อุทธรณ์, ร้องขอ",The police have issued a new appeal for information.,Law
claim (v.),เรียกร้อง,"If you’re still not satisfied, you may be able to claim compensation.",Law
claimant (n.),"โจทก์, ผู้เรียกร้องสิทธิ",The company will settle the lawsuit and provide compensation for claimants.,Law
compromise (v.),ประนีประนอม,They compromised by alternating days on which each chose the activity.,Law
conduct (n.),ความประพฤติ,The Senator’s conduct is being investigated by the Ethics Committee.,Law
coverage (n.),ขอบเขตคุ้มครองในการประกันภัย,Make sure the policy gives adequate coverage against burglary.,Law
damage (n.),"ความเสียหาย,
การทำร้าย",The damage to his reputation was considerable.,Law
decision (n.),"การตัดสิน, คำพิพากษา",The judges’ decision is final,Law
dispute (n.),"ข้อพิพาท, ความขัดแย้ง",The firm is involved in a legal dispute with a rival company.,Law
evidence (n.),หลักฐาน,Murrow’s evidence was enough to convict Hayes of murder.,Law
force (n.),กำลัง,The police used force to overpower the demonstrators.,Law
fuel (n.),เชื้อเพลิง,The fuel tank holds 14 gallons.,Law
investigate (v.),สืบสวน,"We sent our reporter, John, to investigate.",Law
investigation (n.),การตรวจสอบหาความจริง,The investigation continued for nearly two years.,Law
judge (n.),ผู้พิพากษา,The judge advised the governor that the law violated the First Amendment rights of teachers.,Law
justice (n.),ความยุติธรรม,His people came to him demanding justice.,Law
justification (n.),การให้เหตุผล,There is no justification for holding her in jail.,Law
misrepresent (v.),บิดเบือนความจริง,He was found guilty of misrepresenting the true position of his accounts.,Law
oblige (v.),บังคับ,Circumstances had obliged him to sell the business.,Law
patent (n.),สิทธิบัตร,He applied for a patent for a new method of removing paint.,Law
pollute (v.),ก่อให้เกิดมลพิษ,The factory pollutes the air and water.,Law